original	replacement
ltpi_apply	vlt.neuroscience.stdp.ltpi_apply
ltpi_test	vlt.neuroscience.stdp.ltpi_test
sjostrom_freq_stdp	vlt.neuroscience.stdp.sjostrom_freq_stdp
sjostrom_spiketrain	vlt.neuroscience.stdp.sjostrom_spiketrain
stdp_apply	vlt.neuroscience.stdp.stdp_apply
stdp_eltpi_apply	vlt.neuroscience.stdp.stdp_eltpi_apply
stdp_study	vlt.neuroscience.stdp.stdp_study
stdp_study_plotspiketrains	vlt.neuroscience.stdp.stdp_study_plotspiketrains
stdp_test	vlt.neuroscience.stdp.stdp_test
stdp_triplet_apply	vlt.neuroscience.stdp.stdp_triplet_apply
stdp_tripletvscorrelation	vlt.neuroscience.stdp.stdp_tripletvscorrelation
stdp_tripletvsratecorrelation	vlt.neuroscience.stdp.stdp_tripletvsratecorrelation
descramble_pseudorandom	vlt.neuroscience.stimulus_analysis.descramble_pseudorandom
findcontrolstimulus	vlt.neuroscience.stimulus_analysis.findcontrolstimulus
generate_test_stimulus_responses	vlt.neuroscience.stimulus_analysis.generate_test_stimulus_responses
plot_stimulus_timeseries	vlt.neuroscience.stimulus_analysis.plot_stimulus_timeseries
stimids2reps	vlt.neuroscience.stimulus_analysis.stimids2reps
stimulus_response_scalar	vlt.neuroscience.stimulus_analysis.stimulus_response_scalar
stimulus_response_stats	vlt.neuroscience.stimulus_analysis.stimulus_response_stats
stimulus_response_summary	vlt.neuroscience.stimulus_analysis.stimulus_response_summary
trimrespcurve	vlt.neuroscience.stimulus_analysis.trimrespcurve
contrastfit2c50	vlt.neuroscience.vision.contrast.indexes.contrastfit2c50
contrastfit2relativemaximumgain	vlt.neuroscience.vision.contrast.indexes.contrastfit2relativemaximumgain
contrastfit2saturationindex	vlt.neuroscience.vision.contrast.indexes.contrastfit2saturationindex
curved_monitor_view	vlt.neuroscience.vision.curved_monitor_view
make3dbar	vlt.neuroscience.vision.make3dbar
make3dwords2	vlt.neuroscience.vision.make3dwords2
dirspace2orispace	vlt.neuroscience.vision.oridir.dirspace2orispace
dsi2dirparams	vlt.neuroscience.vision.oridir.dsi2dirparams
compute_circularvariance	vlt.neuroscience.vision.oridir.indexes.compute_circularvariance
compute_dircircularvariance	vlt.neuroscience.vision.oridir.indexes.compute_dircircularvariance
compute_directionindex	vlt.neuroscience.vision.oridir.indexes.compute_directionindex
compute_directionsignificancedotproduct	vlt.neuroscience.vision.oridir.indexes.compute_directionsignificancedotproduct
compute_dirvecconstrainedori	vlt.neuroscience.vision.oridir.indexes.compute_dirvecconstrainedori
compute_dirvecdotorivec	vlt.neuroscience.vision.oridir.indexes.compute_dirvecdotorivec
compute_halfwidth	vlt.neuroscience.vision.oridir.indexes.compute_halfwidth
compute_orientationindex	vlt.neuroscience.vision.oridir.indexes.compute_orientationindex
compute_orientationvector	vlt.neuroscience.vision.oridir.indexes.compute_orientationvector
compute_tuningwidth	vlt.neuroscience.vision.oridir.indexes.compute_tuningwidth
fit2fitdi	vlt.neuroscience.vision.oridir.indexes.fit2fitdi
fit2fitdibr	vlt.neuroscience.vision.oridir.indexes.fit2fitdibr
fit2fitdibr_orig	vlt.neuroscience.vision.oridir.indexes.fit2fitdibr_orig
fit2fitdidiffsum	vlt.neuroscience.vision.oridir.indexes.fit2fitdidiffsum
fit2fitdr_angle	vlt.neuroscience.vision.oridir.indexes.fit2fitdr_angle
fit2fitoi	vlt.neuroscience.vision.oridir.indexes.fit2fitoi
fit2fitoidiffsum	vlt.neuroscience.vision.oridir.indexes.fit2fitoidiffsum
fit2null	vlt.neuroscience.vision.oridir.indexes.fit2null
fit2orth	vlt.neuroscience.vision.oridir.indexes.fit2orth
fit2pref	vlt.neuroscience.vision.oridir.indexes.fit2pref
oridir_fitindexes	vlt.neuroscience.vision.oridir.indexes.oridir_fitindexes
oridir_vectorindexes	vlt.neuroscience.vision.oridir.indexes.oridir_vectorindexes
osi2oriparams	vlt.neuroscience.vision.oridir.osi2oriparams
osi2oriparams2	vlt.neuroscience.vision.oridir.osi2oriparams2
polarplot_dir	vlt.neuroscience.vision.oridir.plotting.polarplot_dir
polarplot_ori	vlt.neuroscience.vision.oridir.plotting.polarplot_ori
rotated_oripref_stats	vlt.neuroscience.vision.oridir.rotated_oripref_stats
rotatedircurve	vlt.neuroscience.vision.oridir.rotatedircurve
vector_direction_pref	vlt.neuroscience.vision.oridir.vector_direction_pref
simp_sat_cgain	vlt.neuroscience.vision.simp_sat_cgain
squirrelcolor	vlt.neuroscience.vision.squirrelcolor
stereopoint	vlt.neuroscience.vision.stereopoint
visual_stim_row_correlator	vlt.neuroscience.vision.visual_stim_row_correlator
addresslabels2pdf	vlt.office.addresslabels2pdf
vcarddata2addresslabels	vlt.office.vcarddata2addresslabels
ideal_optical_transfer_function	vlt.optics.ideal_optical_transfer_function
luminous_efficacy	vlt.optics.optics_tables.luminous_efficacy
optics_table	vlt.optics.optics_tables.optics_table
pathstr2cellarray	vlt.paths.pathstr2cellarray
KiCadGerber2OSHPark	vlt.pcb.KiCadGerber2OSHPark
arrowplot	vlt.plotting.arrowplot
autohistogram	vlt.plotting.autohistogram
autoplacetext	vlt.plotting.autoplacetext
cleanfig	vlt.plotting.cleanfig
colorlist	vlt.plotting.colorlist
ctable	vlt.plotting.ctable
cumhist	vlt.plotting.cumhist
drawbarinimage	vlt.plotting.drawbarinimage
drawshape	vlt.plotting.drawshape
hist2d	vlt.plotting.hist2d
hist2line	vlt.plotting.hist2line
imagedisplay	vlt.plotting.imagedisplay
intline	vlt.plotting.intline
matchaxes	vlt.plotting.matchaxes
median_within_between_plot	vlt.plotting.median_within_between_plot
movetoback	vlt.plotting.movetoback
movetofront	vlt.plotting.movetofront
myerrorbar	vlt.plotting.myerrorbar
plot_multichan	vlt.plotting.plot_multichan
plotbargraphwithdata	vlt.plotting.plotbargraphwithdata
plotmeanbar	vlt.plotting.plotmeanbar
plotoribox	vlt.plotting.plotoribox
plotshade	vlt.plotting.plotshade
posterize	vlt.plotting.posterize
quickhist	vlt.plotting.quickhist
scatterplot	vlt.plotting.scatterplot
shiftedbar	vlt.plotting.shiftedbar
supersubplot	vlt.plotting.supersubplot
correlation_stepfunc	vlt.signal.correlation_stepfunc
data2intervals	vlt.signal.data2intervals
decompose_time	vlt.signal.decompose_time
detrend_median	vlt.signal.detrend_median
dotdisc	vlt.signal.dotdisc
dual_led_filters	vlt.signal.dual_led_filters
fermi	vlt.signal.fermi
filterwaveform	vlt.signal.filterwaveform
oversample	vlt.signal.oversample
point2samplelabel	vlt.signal.point2samplelabel
refractory	vlt.signal.refractory
remove60hz	vlt.signal.remove60hz
removespikes	vlt.signal.removespikes
round2sample	vlt.signal.round2sample
samplesinepochs	vlt.signal.samplesinepochs
step_autocorrelation	vlt.signal.step_autocorrelation
step_autocorrelation_ztrans_discrete	vlt.signal.step_autocorrelation_ztrans_discrete
step_whitening_filter	vlt.signal.step_whitening_filter
threshold_crossings	vlt.signal.threshold_crossings
threshold_crossings_epochs	vlt.signal.threshold_crossings_epochs
whitening_filter_from_autocorr	vlt.signal.whitening_filter_from_autocorr
wiener_demo	vlt.signal.wiener_demo
xcorr_discrete	vlt.signal.xcorr_discrete
xcorr_stepfunc	vlt.signal.xcorr_stepfunc
xcorr_stepfuncstepfunc	vlt.signal.xcorr_stepfuncstepfunc
ztrans_discrete	vlt.signal.ztrans_discrete
spreadsheet_filterbydate	vlt.spreadsheet.spreadsheet_filterbydate
spreadsheet_multiplechoice	vlt.spreadsheet.spreadsheet_multiplechoice
chi2class	vlt.stats.chi2class
chi2uniformtest	vlt.stats.chi2uniformtest
discrimin_iterative	vlt.stats.discrimin_iterative
discrimin_iterative_err	vlt.stats.discrimin_iterative_err
gof_Zoccolan	vlt.stats.gof_Zoccolan
gof_dicarlo_totalpower	vlt.stats.gof_dicarlo_totalpower
gof_dicarlo_totalpower_biastest	vlt.stats.gof_dicarlo_totalpower_biastest
gof_totalpower	vlt.stats.gof_totalpower
hartigansdipsigniftest	vlt.stats.hartigansdipsigniftest
hartigansdiptest	vlt.stats.hartigansdiptest
hist_percentile	vlt.stats.hist_percentile
hist_std	vlt.stats.hist_std
hotellingt2test	vlt.stats.hotellingt2test
kolmogorov_smirnov_cdf	vlt.stats.kolmogorov_smirnov_cdf
kolmogorov_smirnov_test	vlt.stats.kolmogorov_smirnov_test
kruskal_wallis_mv	vlt.stats.kruskal_wallis_mv
kruskal_wallis_test	vlt.stats.kruskal_wallis_test
ks2_cdf	vlt.stats.ks2_cdf
ks_cdf_conf	vlt.stats.ks_cdf_conf
ks_cdf_conf_plot	vlt.stats.ks_cdf_conf_plot
manova	vlt.stats.manova
mwustat	vlt.stats.mwustat
myanova	vlt.stats.myanova
myanova1	vlt.stats.myanova1
nested_f	vlt.stats.nested_f
nestedftest	vlt.stats.nestedftest
power_index	vlt.stats.power_index
pseudorandomorder	vlt.stats.pseudorandomorder
quickregression	vlt.stats.quickregression
quickregressionpvalue	vlt.stats.quickregressionpvalue
ranks	vlt.stats.ranks
ranks2	vlt.stats.ranks2
resample_responses	vlt.stats.resample_responses
roc_analysis	vlt.stats.roc_analysis
std_from_median	vlt.stats.std_from_median
stderr	vlt.stats.stderr
twocurves_bhfdr	vlt.stats.twocurves_bhfdr
bracelevel	vlt.string.bracelevel
bracematch	vlt.string.bracematch
intseq2str	vlt.string.intseq2str
ismatlabstring	vlt.string.ismatlabstring
line_n	vlt.string.line_n
str2intseq	vlt.string.str2intseq
strcmp_substitution	vlt.string.strcmp_substitution
trimsymbol	vlt.string.trimsymbol
trimws	vlt.string.trimws
version_decode	vlt.string.version_decode
datevecdiff	vlt.time.datevecdiff
dowait	vlt.time.dowait
fulltimestamp2datevec	vlt.time.fulltimestamp2datevec
basicuitools_defs	vlt.user_interface.basicuitools_defs
callbacknametag	vlt.user_interface.callbacknametag
checksyntaxsize	vlt.user_interface.checksyntaxsize
dlg2struct	vlt.user_interface.dlg2struct
figurecommandcallbackstr	vlt.user_interface.figurecommandcallbackstr
findclosestpointclick	vlt.user_interface.findclosestpointclick
genercallback	vlt.user_interface.genercallback
lb_getselected	vlt.user_interface.lb_getselected
myuiinit	vlt.user_interface.myuiinit
nitemmenuselection	vlt.user_interface.nitemmenuselection
settoolbar	vlt.user_interface.settoolbar
simplepopupmenucallback	vlt.user_interface.simplepopupmenucallback
textbox	vlt.user_interface.textbox
uigetvarname	vlt.user_interface.uigetvarname
